0.0000	0.0000	0.0000	0.0000
0.0063	0.0356	0.0125	-0.0336
0.5000	0.0949	0.3000	-0.0587
0.9500	0.0593	0.6000	-0.0587
1.0000	0.0499	1.0000	0.0499
0.0000	0.0000	0.0000	0.0000
0.0500	0.0412	0.0063	-0.0040
0.4000	0.0824	0.2500	-0.1406
0.8500	0.2061	0.8500	0.1326
1.0000	0.2236	1.0000	0.2236
0.0000	0.0000	0.0000	0.0000
0.0312	0.0366	0.0188	-0.0229
0.2500	0.0366	0.3000	-0.0999
0.7500	0.2562	0.7000	0.1312
1.0000	0.4009	1.0000	0.4009
0.0000	0.0000	0.0000	0.0000
0.0250	0.0333	0.0375	-0.0243
0.1500	0.0333	0.3000	-0.0949
0.5500	0.1331	0.7500	0.1170
1.0000	0.3642	1.0000	0.3642
0.0000	0.0000	0.0000	0.0000
0.0000	0.0302	0.0312	-0.0244
0.2000	0.0302	0.3000	-0.0889
0.7500	0.2115	0.7500	0.1046
1.0000	0.3305	1.0000	0.3305
0.0000	0.0000	0.0000	0.0000
0.0000	0.0321	0.0375	-0.0237
0.2500	0.0321	0.3000	-0.0919
0.7000	0.2248	0.7000	0.1126
1.0000	0.3513	1.0000	0.3513
0.0000	0.0000	0.0000	0.0000
0.0000	0.0366	0.0000	-0.0226
0.3000	0.0366	0.3000	-0.0997
0.7000	0.2564	0.7000	0.1315
1.0000	0.4013	1.0000	0.4013
0.0000	0.0000	0.0000	0.0000
0.0063	0.0385	0.0500	-0.0284
0.1500	0.0192	0.1500	-0.0715
0.8500	0.1924	0.6500	-0.0069
1.0000	0.2086	1.0000	0.2086
0.0000	0.0000	0.0000	0.0000
0.0063	0.0363	0.0000	-0.0079
0.5000	0.0968	0.2000	-0.1072
0.9500	0.0605	0.8500	-0.0079
1.0000	0.0500	1.0000	0.0500
0.0000	0.0000	0.0000	0.0000
0.0438	0.0015	0.0500	-0.0762
0.2500	-0.5311	0.1000	-0.5332
0.9500	-0.7594	0.8000	-0.7617
1.0000	-0.8354	1.0000	-0.8354
0.0000	0.0000	0.0000	0.0000
0.0125	0.0014	0.0438	-0.1537
0.3000	-0.5358	0.2000	-0.5378
0.9500	-0.7661	0.8000	-0.7683
1.0000	-0.8428	1.0000	-0.8428
0.0000	0.0000	0.0000	0.0000
0.0188	0.0013	0.0188	-0.0808
0.3500	-0.5641	0.1500	-0.5659
0.6000	-0.5641	0.8500	-0.8084
1.0000	-0.8871	1.0000	-0.8871
0.0000	0.0000	0.0000	0.0000
0.0438	0.0020	0.0000	-0.0800
0.2000	-0.3179	0.2500	-0.5598
0.6000	-0.5578	0.9000	-0.7996
1.0000	-0.8777	1.0000	-0.8777
0.0000	0.0000	0.0000	0.0000
0.0125	0.0017	0.0312	-0.1754
0.2500	-0.3492	0.3500	-0.6139
0.6000	-0.6123	0.9000	-0.8770
1.0000	-0.9632	1.0000	-0.9632
0.0000	0.0000	0.0000	0.0000
0.0438	0.0015	0.0500	-0.1954
0.2000	-0.3894	0.1500	-0.3907
0.9500	-0.9757	0.8500	-0.9769
1.0000	-1.0734	1.0000	-1.0734
0.0000	0.0000	0.0000	0.0000
0.0500	0.0019	0.0500	-0.2105
0.2500	-0.4194	0.4500	-0.7367
0.6500	-0.7354	0.9000	-1.0525
1.0000	-1.1568	1.0000	-1.1568
0.0000	0.0000	0.0000	0.0000
0.0438	0.0019	0.0500	-0.2122
0.2500	-0.4228	0.4500	-0.7426
0.6500	-0.7414	0.9000	-1.0609
1.0000	-1.1661	1.0000	-1.1661
0.0000	0.0000	0.0000	0.0000
0.0500	0.0018	0.0500	-0.2172
0.2500	-0.4329	0.5000	-0.7601
0.6500	-0.7590	0.5500	-0.7601
1.0000	-1.1937	1.0000	-1.1937
0.0000	0.0000	0.0000	0.0000
0.0375	0.1540	0.0500	-0.0054
0.4000	0.5389	0.5000	0.5358
0.8500	0.7699	0.6500	0.5358
1.0000	0.8451	1.0000	0.8451
0.0000	0.0000	0.0000	0.0000
0.0000	0.0736	0.0250	-0.0052
0.3000	0.5152	0.5000	0.5119
0.8500	0.7361	0.6000	0.5119
1.0000	0.8074	1.0000	0.8074
0.0000	0.0000	0.0000	0.0000
0.0000	0.0720	0.0375	-0.0055
0.3000	0.5037	0.5000	0.5002
0.8500	0.7196	0.6000	0.5002
1.0000	0.7893	1.0000	0.7893
0.0000	0.0000	0.0000	0.0000
0.0125	0.0713	0.0500	-0.0070
0.3000	0.4990	0.5000	0.4950
0.8500	0.7128	0.6000	0.4950
1.0000	0.7818	1.0000	0.7818
0.0000	0.0000	0.0000	0.0000
0.0063	0.0685	0.0500	-0.0080
0.3000	0.4798	0.5000	0.4754
0.8500	0.6854	0.6000	0.4754
1.0000	0.7516	1.0000	0.7516
0.0000	0.0000	0.0000	0.0000
0.0312	0.1437	0.0375	-0.0067
0.4000	0.5028	0.3000	0.2823
0.8500	0.7183	0.6000	0.4991
1.0000	0.7881	1.0000	0.7881
0.0000	0.0000	0.0000	0.0000
0.0188	0.1589	0.0500	-0.0054
0.4500	0.5563	0.2500	0.3139
0.9000	0.7947	0.9500	0.7928
1.0000	0.8726	1.0000	0.8726
0.0000	0.0000	0.0000	0.0000
0.0500	0.2017	0.0500	-0.0055
0.4000	0.4707	0.2000	0.2646
0.8000	0.6725	0.9000	0.6698
1.0000	0.7373	1.0000	0.7373
0.0000	0.0000	0.0000	0.0000
0.0000	0.0632	0.0375	-0.0055
0.2500	0.4427	0.4000	0.4390
0.7500	0.6324	0.9000	0.6295
1.0000	0.6930	1.0000	0.6930
